metric,framework,n,mean,std,median,q1,q3,iqr,min,max
cpu,EasyNav,10,97.51345173546571,5.390505340379027,96.57155426911291,94.93407822570299,101.38099855984106,6.4469203341380705,89.15429069254522,105.31697873913043
cpu,Nav2,10,144.03288552926796,7.239080098733655,143.7341313394971,138.92025791238592,149.2883421941018,10.36808428171588,133.23771808960274,155.9378711864407
memory,EasyNav,10,115.82974521399349,0.5973756151883234,116.02877748588,115.86561520194527,116.14549229716023,0.27987709521495674,114.71097482638889,116.42030823117338
memory,Nav2,10,189.9563520365703,0.649588181141975,190.1436785078538,189.7154090015979,190.23519888642994,0.5197898848320506,188.4522686500888,190.9793274111675
cmd_vel_frequency,EasyNav,10,49.40534504521993,0.7117675762860827,49.72557584510686,48.94061342776004,49.94670169361362,1.0060882658535775,48.202205591677505,49.979257388619324
cmd_vel_frequency,Nav2,10,18.107794870531873,0.8723164291343686,17.968944407194876,17.551745041941935,18.717977918156866,1.1662328762149308,17.00505050847458,19.649868798955612
obstacle_distance,EasyNav,10,0.5575042457152708,0.012435771005998518,0.5586905633403475,0.5522324622413701,0.5677092054152086,0.015476743173838514,0.5375095652173912,0.5725004359197907
obstacle_distance,Nav2,10,0.45122116288648434,0.013631696924398291,0.44954140130114706,0.44782285231734853,0.4626641318445897,0.01484127952724118,0.4201226734348562,0.466473275862069
distance_travelled,EasyNav,10,142.2331,0.6746812333737063,142.19799999999998,141.6995,142.6515,0.9519999999999982,141.335,143.338
distance_travelled,Nav2,10,132.09320000000002,0.43523526205184004,132.06,131.94325,132.27475,0.33150000000000546,131.511,133.034
