framework,n,mean_ms,std_ms,median_ms,iqr_ms,min_ms,max_ms
EasyNav,20,52.41179999999999,18.926105089337096,54.879999999999995,27.74575,23.535,86.516
Nav2,20,377.18585,80.1641606063031,368.9275,98.54275000000001,240.391,600.059
