latency_us,dist_blocked,stop_lin_eps,stop_ang_eps
321774,0.06,0.01,0.01
482367,0.06,0.01,0.01
375416,0.06,0.01,0.01
318777,0.06,0.01,0.01
391245,0.06,0.01,0.01
341512,0.06,0.01,0.01
240391,0.06,0.01,0.01
300731,0.06,0.01,0.01
424928,0.06,0.01,0.01
354908,0.06,0.01,0.01
342541,0.06,0.01,0.01
410584,0.06,0.01,0.01
405749,0.06,0.01,0.01
600059,0.06,0.01,0.01
309827,0.06,0.01,0.01
421675,0.06,0.01,0.01
418865,0.06,0.01,0.01
443268,0.06,0.01,0.01
362439,0.06,0.01,0.01
276661,0.06,0.01,0.01
